date,location,boat_name,trip_type,num_anglers,catch,trip_num
2019-05-13,Ventura Coast,Aloha Spirit,Full Day Trip,19 Anglers,"1 Halibut, 2 Sculpin, 13 Sheephead, 1 Calico Bass, 5 Lingcod, 35 Whitefish, 136 Rockfish",1
2019-05-13,Ventura Coast,Coral Sea,3/4 Day Trip,17 Anglers,"1 Barracuda, 1 Halibut, 7 Lingcod, 43 Rockfish, 17 White Seabass",1
2019-05-13,Ventura Coast,Erna B,3/4 Day Trip,18 Anglers,"1 Sheephead, 150 Rockfish",1
2019-05-13,Ventura Coast,Gentleman,3/4 Day Trip,40 Anglers,"2 Sheephead, 20 Whitefish, 280 Rockfish",1
2019-05-13,Ventura Coast,Island Tak,Full Day Trip,12 Anglers,"17 Calico Bass, 12 White Seabass",1
2019-05-13,Ventura Coast,Mirage,Overnight Trip,21 Anglers,"8 Sheephead, 6 Lingcod, 133 Whitefish, 210 Rockfish, 21 White Seabass",1
2019-05-13,Ventura Coast,Pacific Dawn,Overnight Trip,20 Anglers,"1 Halibut, 20 Lingcod, 150 Rockfish, 20 White Seabass",1
2019-05-13,Ventura Coast,Speed Twin,1/2 Day Trip,17 Anglers,"15 Whitefish, 140 Rockfish",1
2019-05-13,Los Angeles,Betty-O,3/4 Day Trip,3 Anglers,"30 Rockfish, 30 Rockfish",1
2019-05-13,Los Angeles,Freedom,Overnight Trip,30 Anglers,"27 Barracuda, 6 Sheephead, 34 Yellowtail, 20 Rockfish",1
2019-05-13,Los Angeles,New Del Mar,1/2 Day Trip,25 Anglers,"31 Sculpin, 31 Sculpin, 1 Lingcod, 1 Lingcod, 120 Whitefish, 120 Whitefish, 203 Rockfish, 203 Rockfish",1
2019-05-13,Los Angeles,Pescador,Overnight Trip,10 Anglers,"3 Barracuda, 18 Yellowtail, 16 Calico Bass, 17 Rockfish",1
2019-05-13,Los Angeles,Pursuit,Full Day Trip,64 Anglers,"1 Sheephead, 6 Yellowtail, 11 Calico Bass, 4 Whitefish",1
2019-05-13,Los Angeles,Redondo Special,1/2 Day Trip,9 Anglers,"12 Whitefish, 90 Rockfish",1
2019-05-13,Los Angeles,Spitfire,3/4 Day Trip,12 Anglers,"45 Sculpin, 45 Sculpin, 30 Whitefish, 30 Whitefish, 85 Rockfish, 85 Rockfish",1
2019-05-13,Los Angeles,Sport King,3/4 Day Trip,13 Anglers,"31 Bocaccio, 4 Sheephead, 5 Blue Perch, 8 Calico Bass, 22 Whitefish, 12 Rockfish, 27 Red Snapper",1
2019-05-13,Los Angeles,Victory,3/4 Day Trip,17 Anglers,"43 Salmon Grouper, 10 Sculpin, 3 Sheephead, 3 Calico Bass, 38 Whitefish, 40 Rockfish, 71 Vermillion Rockfish",1
2019-05-13,Orange,Clemente,3/4 Day Trip,23 Anglers,"37 Sheephead, 12 Whitefish, 30 Rockfish, 104 Vermilion Rockfish",1
2019-05-13,Orange,Clemente,1/2 Day Trip,28 Anglers,"1 Sculpin, 1 Calico Bass, 15 Calico Bass Released",1
2019-05-13,Orange,Freelance,3/4 Day Trip,33 Anglers,"1 Sculpin, 4 Sheephead, 5 Blue Perch, 137 Whitefish, 27 Rockfish, 9 Vermilion Rockfish",1
2019-05-13,Orange,Patriot (Newport),3/4 Day Trip,12 Anglers,"3 Barracuda, 1 Sheephead, 4 Yellowtail, 6 Blue Perch, 31 Calico Bass, 6 Whitefish, 1 Rockfish",1
2019-05-13,Orange,Sum Fun,1/2 Day Trip,16 Anglers,"2 Sheephead, 9 Calico Bass, 75 Calico Bass Released",1
2019-05-13,Orange,Western Pride,1/2 Day Trip,16 Anglers,"80 Sculpin, 15 Whitefish, 33 Rockfish, 45 Sanddab, 5 Vermilion Rockfish",1
2019-05-13,Orange,Western Pride,1/2 Day Trip,26 Anglers,"13 Bocaccio, 1 Sculpin, 37 Rockfish, 10 Sanddab, 68 Vermilion Rockfish",2
2019-05-13,San Diego,Chubasco II,1/2 Day Trip,36 Anglers,187 Rockfish,1
2019-05-13,San Diego,Dolphin,1/2 Day Trip,27 Anglers,"1 Barracuda, 6 Sculpin, 73 Rockfish",1
2019-05-13,San Diego,Dolphin,1/2 Day Trip,18 Anglers,"8 Sculpin, 1 Lingcod, 91 Rockfish",2
2019-05-13,San Diego,Grande,Full Day Trip,22 Anglers,110 Yellowtail,1
2019-05-13,San Diego,Liberty,Full Day Trip,43 Anglers,25 Bluefin Tuna,1
2019-05-13,San Diego,Malihini,Full Day Trip,6 Anglers,"1 Yellowtail, 9 Calico Bass, 31 Rockfish",1
